Year,line_no,Annual_APC_Boardings,AVG_Daily_APC_Boardings_MF,AVG_Daily_APC_Boardings_Sat,AVG_Daily_APC_Boardings_SunHol,Annual_Service_Cost,Annual_Revenue_Hours,Annual_Service_Hours,Service_Cost_Per_APC_Boarding,Average_APC_Boarding_Per_Revenue_Hour,Average_Passenger_Turnover,Perc_Trips_w_Overcrowding,Average_Passenger_Load_Bi_Directional,Average_Peak_Load_Factor,Average_Capacity_Utilization,Percentage_of_Revenue_Hours_with_Overcrowding,Annual_Revenue_Hours_with_Overcrowding,On_Time_Performance_Percentage,Bus_Bunching_Percentage,AVG_speed_km_per_hr
2014,002,1281099.38909389,4003.35949886639,2868.51378205128,2137.82455263316,2700423.25,22284.2166666667,25718.3166666667,2.107895197663,57.489092313942,59.9600599956601,1.223169191919,20.1645509281771,40.3291018563539,NULL,1.385673,308.770106133333,67.872452178038,4.079224642696,15.9433305153018
2015,002,1331644.61712598,4216.3733631648,2803.37737317149,2127.03328365623,2738601.25,22722.45,26081.9166666667,2.05655564163252,58.6047990919102,60.0087292738848,0.552398989898,19.912918085308,39.8258361706159,NULL,0.642079,145.878129,74.850572962272,3.267047345232,15.1882953392979
2016,002,2815232.70750808,8771.91367115787,6155.09942348008,4740.3670045695,4880116.5,43447.6666666667,46477.3,1.73346824473337,64.7959470207395,83.694317945358,4.32867336537,25.3606817389424,50.6215711654449,26.9369913052014,4.928824,2141.44859466667,77.549258342383,5.908017352748,16.6180553046013
2017,002,4251079.67439303,13251.2899349242,9412.37496692197,7374.55167837627,6974539.25,62814.3333333333,66424.1833333333,1.64065126608003,67.6769050756945,81.111107987361,3.89434013513,25.6885222088585,51.3081638871353,27.3890375659755,4.438614,2788.07699933333,72.274888693703,8.348760228933,17.1703300105915
2018,002,4785396.62493678,15073.2371108582,10246.8445665446,7796.88188492063,7015384.25,63128.4833333333,66813.1833333333,1.46599849497171,75.8040803810976,90.8427386950775,4.988969964364,26.2633011504565,52.4455126610098,26.6445639583328,5.847321,3691.31180595,79.71026851327,6.739946841961,17.095550573711
2014,003,5753454.85238057,17315.0372852643,14622.7979433783,10621.8831367567,7308432.25,67947.7666666667,69604.1166666667,1.27026846260487,84.6746719521402,91.3026512726565,0.556699458552,27.773300344363,39.6761433490899,NULL,0.623721,423.7902207,72.847001260731,5.746548520907,14.3138134323827
2015,003,5978942.4265646,17923.5806063919,15444.4169013065,11121.583546448,7649381.25,71513.4166666667,72851.25,1.27938700597176,83.6058841158888,94.0010634249377,0.43610163064,27.1382868849448,38.7689812642067,NULL,0.50171,358.782811416667,69.612534470171,7.861432558675,14.3229508770354
2016,003,6195984.24433555,18625.4981790849,15509.0425358185,11468.2921416546,7867609.75,73649.5166666667,74929.6166666667,1.26979176184844,84.1279688552228,100.739661911289,0.686386044747,28.7785055056627,41.1121507223752,20.4867922544719,0.785852,578.737901966667,67.98819522928,8.286277147142,14.2101656282683
2017,003,6725984.59883949,20301.4289701533,16310.1940479521,12814.4900262306,7977144,74682.5666666667,75972.8,1.18601877283162,90.0609727148213,107.796584643751,0.905028779157,30.0310935855046,42.9015622650066,22.0455635930434,1.068171,797.684494566667,69.390153088526,7.455846411472,14.0078962901619
2018,003,7004157.20338038,20993.9500962277,17907.7434821055,13184.167526455,8037984.5,75261.2833333333,76552.2333333333,1.14760195503903,93.0645465126984,110.577720857143,0.987663664572,30.6818812196196,43.8312588851708,22.3358632942135,1.085245,816.735446733333,69.747202189897,7.156977806503,13.9607169661904
2014,004,2669220.28248428,7728.218995545,7273.31478913109,5845.16663218384,6263299,56031.1166666667,59650.4666666667,2.34649011215015,47.6381775213168,128.295155846922,4.546389631763,25.8292510373519,54.9558532709615,NULL,5.297404,2968.1923743,76.626470150364,1.357643340501,17.99295305823
2015,004,2934767.71566379,8611.00895471864,7569.49148063264,6256.20619899225,6217970.5,56073.0166666667,59218.7666666667,2.11872662589708,52.3383240304315,130.909013255514,6.884728793801,26.4152316413328,56.2026205134739,NULL,7.965051,4466.2157775,80.599723057823,1.046322213468,18.1582145138586
2016,004,3151638.18183054,9269.10393389337,7909.15327429383,6664.48708032707,6241679.5,56280.7,59444.5666666667,1.98045560432153,55.9985604626549,139.76368495645,10.361379688678,28.3266261749037,60.2694173934122,36.2842055210876,11.571173,6512.2960777,78.338175294883,1.472435258668,18.1009861154867
2017,004,3418601.4092958,10045.9013628907,8542.89825396824,7423.75116686056,6289512.25,56700.6,59900.1166666667,1.83979104229516,60.29215580251,147.316069204178,11.022812906761,30.1066302712687,64.0566601516356,38.881388640679,12.374604,7016.4724476,80.276572439651,1.499902526866,17.7601335471197
2018,004,3421516.12320555,10222.8502625469,8329.8178459361,6928.95410411346,6360858,57425.1333333333,60579.6,1.85907585145051,59.5822059888798,148.474707929152,10.528800755429,29.7256956398861,63.2461609359274,38.270762890165,12.329743,7080.3466646,80.593819514793,1.653183179003,17.8291344715441
2014,005/006,6060402.37129021,18029.5339815122,15328.0944095313,12060.7043707628,8839657.75,78632.6,84187.2166666667,1.45859255020358,77.0723894579374,66.4573013118465,1.617880523001,22.0315789741071,46.8756999449085,NULL,1.872863,1472.6313328,80.398718969411,3.192997007394,9.55309974775236
2015,005/006,5953908.71512723,17707.9259897019,15234.7190973537,11717.8351432248,8838928,78641.6666666667,84180.2666666667,1.48455887097206,75.7093404487938,63.4212762696383,1.751663366689,21.0361744439286,44.7578179658059,NULL,2.003533,1575.58579166667,82.567312702268,3.110199960033,9.55860542476077
2016,005/006,6004526.04166154,17830.8626719166,14845.4410870275,12213.5743789432,9118513.25,80887.0166666667,86842.9833333333,1.51860666216326,74.2334961667092,64.9250853391447,1.915094507687,21.9583261879281,46.7198429530385,26.0788003363384,2.173671,1758.16019426667,82.820434025491,3.248578976588,9.46078515039827
2017,005/006,6468470.40387659,19046.8390298327,16471.457562047,13867.1500897822,9157293.25,81495.05,87212.3166666667,1.41568140197596,79.3725558040223,64.853523872777,3.315424610051,20.6531322437508,43.9428345611719,16.9755095672944,4.071425,3317.9894657,77.664168328405,5.446859162564,9.84212297104112
2018,005/006,7182367.68018181,21202.2403568189,18150.0060100957,15266.1215654716,9608667.25,85203.1833333333,91511.1166666667,1.33781333368842,84.2969405507166,72.2204285971448,7.266500202456,24.6759196152999,52.5019566282977,21.0010570539639,8.439634,7190.8078606,82.491178640015,4.941769468163,9.62200086558734
2014,007,4309224.48436266,12909.9715322781,10560.6547124884,8516.46950126375,7711805.5,69927.0833333333,73445.7666666667,1.78960402921329,61.6245420078677,183.704339710312,2.757502027575,25.131486707329,53.4669422883494,NULL,3.022217,2113.3363125,76.852676148083,1.227439133053,16.9488210794082
2015,007,4255092.41352929,12652.0311440495,10868.10496263,8474.58100146663,7782783.75,69639.0333333333,74121.75,1.82905163828034,61.1021177327652,175.463004595907,1.959989186266,23.9587220180799,50.9743218379191,NULL,2.162305,1505.80481776667,75.364227205684,1.499717797233,16.7076235836415
2016,007,4366830.49558634,12922.6586517537,10892.0738217757,8953.62339045212,7812122.5,69916.5833333333,74401.1666666667,1.78896856836919,62.4577215789722,186.659237793623,4.217641094964,25.6953726344586,54.6696768066867,28.4724308518188,4.600644,3216.58233283333,72.845464647613,2.039213630291,16.6106840963887
2017,007,4711067.26520811,13887.9086259382,12284.720984127,9771.30122460311,7805910,69887.8,74342,1.65693027939714,67.4090079414163,196.845216566269,6.133063154339,27.4633262230316,58.4316691071854,30.37492823463,6.782246,4739.9303716,73.148376340968,2.154598637428,16.4838304812981
2018,007,4819512.76613135,14096.8811737495,12748.4648039995,10188.5447703223,7822073,70061.7666666667,74495.9333333333,1.62300078442967,68.7894838430378,202.018134861751,5.735879614009,28.6732612717128,61.0051482724077,32.3108514862453,6.34694,4446.75026856667,73.866104906517,2.070443607622,16.4140014850562
