Line,LineName,Sub-Region of Primary Service,Predominant Vehicle Type,TSG Service Type, POP , EMP ,Schedule,DataCapture, Average One-Way Trip Distance (km) , Notes ,Service Change 1,Service Change 2,Service Change 3,Service Change 4,Service Change 5,Service Change 6,Service Change 7,Service Change 8,Service Change 9
2,MACDONALD/DOWNTOWN,Vancouver/UBC,Std. Bus,All Day Frequent,"82,000","110,000",http://infomaps.translink.ca/Public_Timetables/148/tt002.pdf,400m,8.6, Data reflects service redesign with 022 in summer 2016 ,"- Summer 2016, Split 022 at Burrard Station; west side of 022 route and schedule incorporated into 002","- Summer 2016, reduce service due to efficiencies with combined 002/022 schedules (all days)",0,0,0,0,0,0,0
3,MAIN/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,"80,000","106,000",http://infomaps.translink.ca/Public_Timetables/148/tt003.pdf,400m,10,,"- Fall 2015, Increase freq from 30 to 20m from 2430-2530hr (M-F)",0,0,0,0,0,0,0,0
4,POWELL/DOWNTOWN/UBC,Vancouver/UBC,Std. Trolley,Peak Frequent,"122,000","167,000",http://infomaps.translink.ca/Public_Timetables/148/tt004.pdf,400m,14.2,,0,0,0,0,,0,0,0,0
005/006,ROBSON?DAVIE/DOWNTOWN,Vancouver/UBC,Std. Trolley,All Day Frequent,"109,000","131,000",http://infomaps.translink.ca/Public_Timetables/148/tt005.pdf; http://infomaps.translink.ca/Public_Timetables/148/tt006.pdf,400m,3.4, 005/006 run as a connected loop; data reflects service redesign with 023 in Dec 2016 ,"- December 2016, Reroute from Granville to Cambie with new terminus at Cambie and Dunsmuir to meet route 5 (all days)","- June 2017, Add one WB trip from Yaletown Stn around 0640 (M-F)","- Fall 2016, Permanent reroute of 005 btwn Burrard and Granville due to closure of the 800-block of Robson St","- December 2016, Reroute terminus from Pender and Robson along Pender to Cambie and Dunsmuir to meet route 6 (all days)","- Winter 2017, Extend one morning trip to SFU to close gap with N35 (All days); Increase service 07:00-09:00 from 5-6 to 4.5-5 min, 16:00-19:00 from 7.5-12 to 6-8.5 min, and 19:00-23:00 from 15 to 12 min (M-F); Increase service 16:00-25:00 from 12-20 to 10-15 min (Sat); Increase service 09:00-14:00 from 15 to 12 min (Sun); Introduce all-door boarding",0,0,0,0
7,NANAIMO STN/DUNBAR,Vancouver/UBC,Std. Trolley,Standard,"148,000","147,000",http://infomaps.translink.ca/Public_Timetables/148/tt007.pdf,400m,15.7,,0,0,0,0,0,0,0,0,0
8,FRASER/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,"83,000","104,000",http://infomaps.translink.ca/Public_Timetables/148/tt008.pdf,400m,8.9,,0,0,0,0,0,0,0,0,0
9,BOUNDARY/COMM'L-BDWAY STN/GRANVILLE/ALMA/UBC,Vancouver/UBC,Std. Trolley,All Day Frequent,"118,000","86,000",http://infomaps.translink.ca/Public_Timetables/148/tt009.pdf,400m,10.5,,0,0,0,0,0,0,0,0,0
10,GRANVILLE/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,"101,000","135,000",http://infomaps.translink.ca/Public_Timetables/148/tt010.pdf,400m,10.5,,0,0,0,0,0,0,0,0,0
14,HASTINGS/UBC,Vancouver/UBC,Std. Trolley,All Day Frequent,"142,000","174,000",http://infomaps.translink.ca/Public_Timetables/148/tt014.pdf,400m,13.2,,"- Fall 2015, Increase freq from 20 to 15m from 2400-2530hr (M-F)",0,,0,0,0,0,0,0
015/050,CAMBIE/OLYMPIC VLG STN ? WATERFRONT STN/FALSE CREEK S,Vancouver/UBC,Std. Bus,Standard,"62,000","50,000",http://infomaps.translink.ca/Public_Timetables/148/tt015.pdf; http://infomaps.translink.ca/Public_Timetables/148/tt050.pdf,400m,6.7, 015/050 run as a connected route ,0,0,0,0,0,0,0,0,0
16,29TH AVE STN/ARBUTUS,Vancouver/UBC,Std. Trolley,All Day Frequent,"158,000","175,000",http://infomaps.translink.ca/Public_Timetables/148/tt016.pdf,400m,17.5,,0,0,0,0,0,0,0,0,0
