Year,line_no,DayType,sheet,Time_Range,direction_name_EastNorth,direction_name_WestSouth,Revenue_Hours,Service_Hours,Average_Trips_Per_Clock_Hour_Per_Direction,Average_APC_Boardings_Per_Revenue_Hour,Average_APC_Boardings_Per_Trip,Average_Peak_Passenger_Load_EastNorth,Average_Peak_Load_Factor_Percentage_EastNorth,Average_Peak_Passenger_Load_WestSouth,Average_Peak_Load_Factor_Percentage_WestSouth
2017,002,MF,Fall,04:00-06:00,EAST,WEST,158.166666666667,221.433333333333,2,44.4605924897021,48.1656418638439,23.2426663899267,46.4853327798533,9.06849315068493,18.1369863013698
2017,002,MF,Fall,06:00-09:00,EAST,WEST,2668.15,2994.21666666667,10.8310502283105,79.3634754207989,89.5579866240347,39.0057853781339,77.4667244642727,22.2958142553598,44.5916285107196
2017,002,MF,Fall,09:00-15:00,EAST,WEST,4567.36666666667,4770.55,8.41552511415525,63.9813228716796,79.2996374116888,22.8540962284192,45.7081924568385,22.3576388254436,44.7152776508871
2017,002,MF,Fall,15:00-18:00,EAST,WEST,3159.68333333333,3206.2,11.3333333333333,77.6751001208165,98.9456928793004,26.2140756670052,52.4281513340105,35.2676913603712,70.5353827207426
2017,002,MF,Fall,18:00-21:00,EAST,WEST,2138.9,2263,7.99543378995434,61.5482992985645,75.695561594297,18.4125016187383,36.8250032374766,28.5795074667724,57.1590149335448
2017,002,MF,Fall,21:00-24:00,EAST,WEST,1097.43333333333,1165.56666666667,4,46.3036383051295,57.7748801894974,14.2403010327744,28.4806020655487,23.829274412131,47.6585488242619
2017,002,MF,Fall,24:00-04:00,EAST,WEST,386.9,422.183333333333,1.74657534246575,14.0739344596737,20.9200417476621,4.68630136986301,9.37260273972603,9.39438415465812,18.7887683093162
2017,002,MF,Summer,04:00-06:00,EAST,WEST,106.166666666667,148.633333333333,2,45.046953046953,48.8008658008658,22.6307977736549,45.2615955473098,9.87414965986394,19.7482993197279
2017,002,MF,Summer,06:00-09:00,EAST,WEST,1795.85,2014.71666666667,10.8299319727891,65.5225923328664,74.0185467917206,32.1385679560425,64.2771359120849,20.8496430646245,41.6992861292491
2017,002,MF,Summer,09:00-15:00,EAST,WEST,3065.76666666667,3202.15,8.41496598639456,69.0961261917574,85.6654448865821,25.7078500781626,51.4157001563252,24.7884751568978,49.5769503137955
2017,002,MF,Summer,15:00-18:00,EAST,WEST,2120.88333333333,2165.8,11.3333333333333,77.5100968113008,98.783659739531,27.421274107286,54.8425482145721,33.8325031494079,67.6650062988158
2017,002,MF,Summer,18:00-21:00,EAST,WEST,1435.7,1519,7.99319727891156,71.2068187584193,86.6813124492983,26.1985459858546,52.3970919717093,27.6911470143613,55.3822940287226
2017,002,MF,Summer,21:00-24:00,EAST,WEST,736.633333333333,782.366666666667,4,62.9503646962915,78.6525408850409,22.0742407063836,44.1484814127671,27.5373007283722,55.0746014567443
2017,002,MF,Summer,24:00-04:00,EAST,WEST,259.7,283.383333333333,1.74489795918367,23.8525087344721,35.4235363666014,5.51806972789116,11.0361394557823,18.6806264172336,37.3612528344671
2017,002,SAT,Fall,04:00-06:00,EAST,WEST,7,22.1666666666667,1,17.7142857142857,8.85714285714286,8.21428571428571,16.4285714285714,NULL,NULL
2017,002,SAT,Fall,06:00-09:00,EAST,WEST,198.1,219.566666666667,4,45.4240165112996,54.3042328042328,23.4587112622827,46.9174225245654,16.6227513227513,33.2455026455026
2017,002,SAT,Fall,09:00-15:00,EAST,WEST,689.966666666667,701.633333333333,6,70.0323603863804,96.3507936507936,32.8270502645503,65.6541005291005,26.8844246031746,53.7688492063492
2017,002,SAT,Fall,15:00-18:00,EAST,WEST,378.933333333333,378.933333333333,6,80.2537934073427,120.659523809524,39.301917989418,78.603835978836,36.4358465608466,72.8716931216931
2017,002,SAT,Fall,18:00-21:00,EAST,WEST,342.066666666667,346.733333333333,6,63.4444842991244,86.4325396825397,26.9708994708995,53.9417989417989,30.8974867724868,61.7949735449735
2017,002,SAT,Fall,21:00-24:00,EAST,WEST,213.266666666667,225.4,4,58.9345465574765,75.0654761904762,18.3382936507936,36.6765873015873,32.6339285714286,65.2678571428572
2017,002,SAT,Fall,24:00-04:00,EAST,WEST,92.8666666666667,107.333333333333,3.5,39.5822886297376,32.3377976190476,7.52380952380953,15.0476190476191,19.0997023809524,38.1994047619048
2017,002,SAT,Summer,04:00-06:00,EAST,WEST,4.5,14.25,1,33.8,16.9,13,26,NULL,NULL
2017,002,SAT,Summer,06:00-09:00,EAST,WEST,127.35,141.15,4,48.00063439152,57.337037037037,21.5329805996473,43.0659611992945,17.7441975308642,35.4883950617284
2017,002,SAT,Summer,09:00-15:00,EAST,WEST,443.55,451.05,6,78.3804676339362,108.077314814815,34.0598765432099,68.1197530864197,35.6913580246914,71.3827160493827
2017,002,SAT,Summer,15:00-18:00,EAST,WEST,243.6,243.6,6,98.2982823019378,147.837037037037,47.5043209876543,95.0086419753086,47.0820987654321,94.1641975308642
2017,002,SAT,Summer,18:00-21:00,EAST,WEST,219.9,222.9,6,91.5081926861576,124.508950617284,38.9228395061728,77.8456790123457,40.2111111111111,80.4222222222222
2017,002,SAT,Summer,21:00-24:00,EAST,WEST,137.1,144.9,4,68.2946921443737,87.0208333333333,33.1203703703704,66.2407407407407,27.4444444444444,54.8888888888889
2017,002,SAT,Summer,24:00-04:00,EAST,WEST,59.7,69,3.5,40.737074829932,37.8541666666667,15.5694444444444,31.1388888888889,18.2662037037037,36.5324074074074
2017,002,SUN,Fall,04:00-06:00,EAST,WEST,0,5.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017,002,SUN,Fall,06:00-09:00,EAST,WEST,207.9,243,3.83333333333333,35.5447148413588,34.5584656084656,13.5792181069959,27.1584362139918,10.3672839506173,20.7345679012346
2017,002,SUN,Fall,09:00-15:00,EAST,WEST,793.2,799.8,6,63.1509983835243,77.904475308642,28.4717335390947,56.9434670781893,20.7973251028807,41.5946502057613
2017,002,SUN,Fall,15:00-18:00,EAST,WEST,404.7,415.8,6,76.3575936843026,94.9568930041152,28.3110082304527,56.6220164609053,31.1711934156379,62.3423868312758
2017,002,SUN,Fall,18:00-21:00,EAST,WEST,272.4,282.9,4.16666666666667,58.5315641480516,71.5572016460905,18.1898148148148,36.3796296296296,27.6474382716049,55.2948765432099
2017,002,SUN,Fall,21:00-24:00,EAST,WEST,216,216,4,38.3657407407407,38.3657407407407,9.37808641975309,18.7561728395062,17.087962962963,34.1759259259259
2017,002,SUN,Fall,24:00-04:00,EAST,WEST,119.4,134.4,3,8.13967177603541,8.80787037037037,2.27430555555556,4.54861111111111,5.75771604938272,11.5154320987654
2017,002,SUN,Summer,04:00-06:00,EAST,WEST,0,3.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017,002,SUN,Summer,06:00-09:00,EAST,WEST,138.6,162,3.83333333333333,41.1758401995677,40.1554232804233,14.5115740740741,29.0231481481482,14.625,29.25
2017,002,SUN,Summer,09:00-15:00,EAST,WEST,528.8,533.2,6,72.560958814532,89.8287037037037,31.4097222222222,62.8194444444445,26.2546296296296,52.5092592592593
2017,002,SUN,Summer,15:00-18:00,EAST,WEST,269.8,277.2,6,102.396642194343,127.488888888889,37.0787037037037,74.1574074074074,42.5231481481482,85.0462962962963
2017,002,SUN,Summer,18:00-21:00,EAST,WEST,181.6,188.6,4.16666666666667,100.113772129901,121.05787037037,42.4375,84.875,39.1458333333333,78.2916666666667
2017,002,SUN,Summer,21:00-24:00,EAST,WEST,144,144,4,60.9166666666667,60.9166666666667,17.0416666666667,34.0833333333333,24.9722222222222,49.9444444444444
2017,002,SUN,Summer,24:00-04:00,EAST,WEST,79.6,89.6,3,20.0201313837677,22.9166666666667,3.76041666666667,7.52083333333334,12.1666666666667,24.3333333333333
2018,002,MF,Fall,04:00-06:00,EAST,WEST,158.166666666667,221.433333333333,2,53.6798642533936,58.1531862745097,25.696638015937,51.3932760318739,14.3167808219178,28.6335616438356
2018,002,MF,Fall,06:00-09:00,EAST,WEST,2693.7,3019.76666666667,10.8310502283105,90.1151144267114,102.596016885081,36.304428006945,71.9670869460044,32.4490733706869,64.8981467413738
2018,002,MF,Fall,09:00-15:00,EAST,WEST,4600.21666666667,4838.68333333333,8.41552511415525,69.0871405040133,86.2794831125084,22.0835935931934,44.1671871863866,25.2660032205502,50.5320064411003
2018,002,MF,Fall,15:00-18:00,EAST,WEST,3317.85,3396,11.3333333333333,84.9847432539798,113.653242198318,27.6698007142527,55.3396014285056,34.9877129854756,69.9754259709512
2018,002,MF,Fall,18:00-21:00,EAST,WEST,2149.85,2281.25,7.99543378995434,67.800155177748,83.9358816335464,17.5299363398434,35.0598726796868,27.6918212048253,55.3836424096508
2018,002,MF,Fall,21:00-24:00,EAST,WEST,1109.6,1177.73333333333,4,49.7958688410521,62.7455387205387,11.3077915488874,22.6155830977749,19.5427679436241,39.0855358872482
2018,002,MF,Fall,24:00-04:00,EAST,WEST,372.3,407.583333333333,1.74657534246575,22.2386332486045,31.7266993327773,4.62926525529265,9.2585305105853,12.8004592154421,25.6009184308842
2018,002,MF,Summer,04:00-06:00,EAST,WEST,104,145.6,2,52.6721611721612,57.061507936508,26.0717592592592,52.1435185185185,15.3065476190476,30.6130952380953
2018,002,MF,Summer,06:00-09:00,EAST,WEST,1764,1978.4,10.8333333333333,86.4167841642703,97.9609107563714,38.258200858691,76.083317372533,34.0793203369502,68.1586406739004
2018,002,MF,Summer,09:00-15:00,EAST,WEST,3003.2,3139.2,8.41666666666667,80.7238768198239,100.061716096101,27.6972933201058,55.3945866402117,31.8240872097296,63.6481744194591
2018,002,MF,Summer,15:00-18:00,EAST,WEST,2077.6,2124,11.3333333333333,95.599905301815,121.835321898348,30.7769264069264,61.5538528138528,42.8143443135916,85.6286886271832
2018,002,MF,Summer,18:00-21:00,EAST,WEST,1406.4,1491.2,8,80.5846544016992,98.8237005719217,24.3324178549625,48.664835709925,32.1639264538661,64.3278529077323
2018,002,MF,Summer,21:00-24:00,EAST,WEST,721.6,766.4,4,68.6224632103353,85.5219510582011,23.7186838624339,47.4373677248677,28.4913635361552,56.9827270723104
2018,002,MF,Summer,24:00-04:00,EAST,WEST,254.4,277.6,1.75,22.2452445652174,33.1111111111111,6.86458333333333,13.7291666666667,15.6979166666667,31.3958333333334
2018,002,SAT,Fall,04:00-06:00,EAST,WEST,7.5,23.75,1,26,13,7,14,NULL,NULL
2018,002,SAT,Fall,06:00-09:00,EAST,WEST,212.25,235.25,4,42.8815046744382,51.212962962963,17.6632275132275,35.326455026455,18.3140740740741,36.6281481481482
2018,002,SAT,Fall,09:00-15:00,EAST,WEST,739.25,751.75,6,75.7517712619861,104.157407407407,32.8990740740741,65.7981481481482,29.1861111111111,58.3722222222222
2018,002,SAT,Fall,15:00-18:00,EAST,WEST,406,406,6,87.890276951925,132.148148148148,41.012962962963,82.0259259259259,39.7583333333333,79.5166666666667
